0.005,68.9
0.01,63.0
0.015,65.6
0.02,62.9
0.025,61.5
0.03,61.9
0.035,62.1
0.04,62.5
0.045,62.1
0.05,63.2
0.055,65.7
0.06,61.9
0.065,61.9
0.07,63.7
0.075,67.4
0.08,62.2
0.085,61.8
0.09,61.9
0.095,63.2
0.1,64.2
0.105,62.5
0.11,64.4
0.115,62.3
0.12,62.9
0.125,61.5
0.13,62.1
0.135,61.6
0.14,61.6
0.145,61.6
0.15,63.6
0.155,64.7
0.16,62.6
0.165,62.7
0.17,62.2
0.175,61.2
0.18,62.2
0.185,61.6
0.19,63.1
0.195,61.8
0.2,62.4
0.205,62.2
0.21,61.7
0.215,61.5
0.22,61.5
0.225,61.7
0.23,61.6
0.235,61.6
0.24,61.3
0.245,61.3
0.25,61.4
